customer_id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
392,37,65.0,1956,1,Female,Address_0,40.96023965482215,-86.62737412267695,$82041,$87963,$39815,844,5
1651,59,65.0,1951,7,Male,Address_1,38.16076745263719,-72.67029339639014,$85475,$73224,$54621,640,4
87,22,65.0,2002,7,Male,Address_2,32.353135788676525,-76.98237109738267,$81761,$115373,$68192,674,4
1163,35,65.0,1995,5,Female,Address_3,41.38080589842067,-70.08331248479153,$59204,$149185,$93951,712,3
1403,66,65.0,1994,8,Male,Address_4,31.84032406205031,-89.65143942027342,$32589,$134530,$24146,727,1
866,70,65.0,1975,1,Male,Address_5,49.38756963058958,-107.56311358662371,$54855,$137955,$37636,802,5
153,22,65.0,1968,8,Female,Address_6,45.64324561099937,-85.93922656893476,$44820,$106596,$37748,542,4
2520,61,65.0,2001,12,Female,Address_7,31.04429797298595,-71.0055727392619,$50368,$99746,$46907,624,4
2712,60,65.0,1980,11,Female,Address_8,49.76104121892229,-118.43399477756005,$78924,$102796,$63731,628,2
618,36,65.0,1968,9,Male,Address_9,31.285233136314343,-118.34410005501698,$87852,$47023,$16292,702,1
2338,20,65.0,1960,3,Male,Address_10,34.507403401489896,-106.02318408906814,$53744,$72168,$68599,593,4
1519,57,65.0,1976,7,Female,Address_11,45.19184540608585,-118.97928056167186,$84289,$67360,$52593,849,1
1932,43,65.0,1975,5,Male,Address_12,31.21744150323961,-86.71540958693257,$40430,$73519,$27676,727,1
938,49,65.0,1964,4,Male,Address_13,37.35104068908336,-114.1984472580524,$50014,$71420,$70728,813,3
871,28,65.0,1951,7,Male,Address_14,32.914665880327895,-82.62760009198126,$86852,$148526,$74479,632,3
1615,59,65.0,1970,8,Female,Address_15,29.700110712248755,-80.13545865380917,$41131,$49838,$34466,609,3
1135,69,65.0,1969,8,Male,Address_16,31.059898641540897,-112.00755577965072,$51915,$42675,$62407,738,1
2525,69,65.0,1996,2,Female,Address_17,41.02849832799104,-110.17784024978124,$87013,$59736,$51985,636,5
2435,29,65.0,1983,9,Male,Address_18,47.746847129586335,-114.7621761122044,$61142,$66980,$90174,600,2
2515,72,65.0,1989,6,Female,Address_19,35.634105116321464,-74.76294189028906,$45796,$76875,$73759,825,4
1265,40,65.0,1999,4,Male,Address_20,46.73961960234985,-117.48170343930369,$74585,$129494,$28959,735,1
228,52,65.0,1983,6,Female,Address_21,46.67609796300894,-99.80711378718146,$64589,$72196,$56717,583,4
1686,34,65.0,1991,1,Female,Address_22,25.868806476701007,-90.83850784823908,$89322,$64635,$7154,819,5
975,54,65.0,1982,7,Male,Address_23,37.85936096517214,-78.44998326407193,$33785,$117271,$60632,478,1
73,44,65.0,1959,1,Male,Address_24,43.97418463947744,-107.7312972594944,$54167,$71284,$30582,545,1
1553,25,65.0,1981,11,Female,Address_25,28.0298610548877,-105.41642756906047,$47933,$122684,$47610,689,1
2145,18,65.0,1989,5,Male,Address_26,40.05238605596556,-95.020952672575,$59439,$119632,$33390,833,4
263,27,65.0,1971,5,Male,Address_27,36.49494835279484,-115.31785245796873,$61553,$65183,$33084,600,5
1015,44,65.0,1996,12,Male,Address_28,39.5957298041761,-104.37529249143604,$51292,$147582,$24017,538,4
223,53,65.0,1964,12,Female,Address_29,46.97098817577599,-102.49544036932303,$36810,$122454,$70193,571,4
1550,54,65.0,1995,7,Female,Address_30,36.26657094238119,-99.22835475312934,$53979,$104813,$33123,554,4
485,43,65.0,1974,7,Female,Address_31,31.18213228672824,-71.59244171675869,$88410,$139725,$28513,698,4
2308,61,65.0,1959,9,Female,Address_32,37.17129971523052,-76.71362256042823,$85666,$96212,$29306,583,4
1709,44,65.0,1975,6,Female,Address_33,35.91745716301954,-107.5020375981548,$61866,$48162,$65283,817,3
2239,54,65.0,2003,8,Male,Address_34,49.329642817494936,-96.57346601333006,$65707,$139963,$16999,737,4
2314,45,65.0,1951,4,Female,Address_35,30.978464438886043,-92.10240954032813,$65425,$148083,$31999,562,5
557,37,65.0,1957,4,Female,Address_36,27.29348199016857,-103.84521224203266,$67435,$144801,$28225,643,3
982,20,65.0,1969,3,Male,Address_37,25.536944400328714,-86.2074579807832,$71400,$110383,$72066,718,5
2264,74,65.0,2006,5,Female,Address_38,32.190003788437274,-79.9679848865558,$60848,$87954,$31279,677,1
1719,48,65.0,1967,9,Female,Address_39,48.95126238270161,-103.34908847309774,$74992,$48037,$23586,821,2
2194,59,65.0,1970,7,Male,Address_40,36.69741780222448,-111.4792873606334,$73042,$121882,$33571,745,2
2571,65,65.0,1972,10,Male,Address_41,25.04834801989943,-82.60916466581409,$63938,$128479,$31417,729,4
2802,25,65.0,1985,8,Male,Address_42,39.012197979194994,-116.58230680828908,$53842,$52912,$46616,701,4
1153,72,65.0,1973,7,Male,Address_43,45.54307139410547,-76.06958278222177,$73240,$135206,$13654,845,1
2613,43,65.0,1985,1,Male,Address_44,29.042454137556856,-99.58390941110116,$87785,$122744,$27713,701,5
1888,60,65.0,1990,6,Female,Address_45,45.21941967592618,-99.65830955768826,$42058,$89053,$75772,683,1
2766,35,65.0,1990,10,Female,Address_46,45.86699713993277,-118.80457021254205,$85164,$115528,$91017,733,3
1057,33,65.0,1968,4,Male,Address_47,30.722079094372088,-78.83402673313103,$86685,$91129,$62598,715,3
2439,26,65.0,1963,11,Male,Address_48,39.29162935429065,-101.5888237077908,$35797,$48710,$47489,745,4
83,58,65.0,1999,7,Female,Address_49,25.00706897513377,-115.91764482466796,$73089,$130894,$44535,601,3
453,40,65.0,1956,10,Female,Address_50,29.9331037170156,-91.19760648132429,$71311,$57759,$43455,633,5
1098,33,65.0,1957,3,Male,Address_51,46.94123585325663,-115.88905145891252,$41103,$76449,$73549,729,5
1668,68,65.0,1999,9,Male,Address_52,33.87333875837599,-87.15825098155507,$76876,$91904,$34857,621,4
1688,31,65.0,1960,9,Male,Address_53,30.89656177899336,-76.14069630023465,$31343,$83836,$13021,631,1
2478,49,65.0,1978,7,Male,Address_54,34.891046200575985,-117.38379660232496,$63030,$55994,$38966,694,5
1990,38,65.0,1991,12,Male,Address_55,43.410030161258405,-114.21062559750531,$52152,$120366,$35104,719,1
1913,23,65.0,1979,3,Female,Address_56,43.43611123847057,-107.85110492081,$50385,$100577,$50932,678,3
1420,26,65.0,1991,12,Female,Address_57,26.64155828994197,-74.02471463438425,$69887,$129312,$66679,705,4
702,66,65.0,1996,6,Female,Address_58,36.78810827237002,-113.09416892443532,$50727,$81261,$21766,645,3
852,73,65.0,1956,4,Male,Address_59,47.17117962044218,-93.79248436607944,$89712,$146540,$55959,612,3
218,53,65.0,1983,5,Female,Address_60,45.10841790428573,-115.99836045377693,$44508,$78802,$62966,782,4
460,71,65.0,1967,7,Female,Address_61,27.82692780897667,-111.56620258550262,$73943,$60149,$70932,806,4
1761,49,65.0,1997,4,Female,Address_62,48.041947925874126,-94.58316698769411,$48231,$96996,$40696,541,2
1342,48,65.0,1986,9,Male,Address_63,47.6764479330398,-74.44302240880498,$46606,$81947,$40316,700,4
1612,26,65.0,1990,9,Male,Address_64,44.664646953827024,-119.565429795427,$47542,$69242,$25834,592,2
1466,60,65.0,1971,9,Female,Address_65,27.250780264625124,-71.12409071229442,$38419,$90989,$19261,724,4
2214,45,65.0,1966,8,Female,Address_66,39.43127724108439,-110.73870142639863,$81871,$133993,$44673,623,2
1476,32,65.0,1970,6,Male,Address_67,38.48192436744226,-111.64630394588848,$62675,$102305,$28135,804,1
2193,55,65.0,1992,2,Male,Address_68,34.502837851283914,-104.45721321370011,$85749,$74190,$78060,467,3
2570,68,65.0,1999,4,Female,Address_69,46.38898069027528,-90.62917008049676,$35842,$44261,$79754,662,2
412,30,65.0,2001,6,Female,Address_70,38.19796581462442,-101.37897946206073,$82723,$149262,$28970,627,3
2734,61,65.0,1956,6,Female,Address_71,45.327523836476274,-114.14905712183833,$89976,$75606,$58560,601,1
1901,70,65.0,1988,4,Male,Address_72,34.32962993586536,-100.5969647920196,$37899,$142241,$81746,629,1
386,48,65.0,2005,3,Female,Address_73,27.13603614896613,-104.55142668108547,$80195,$107460,$67832,708,1
1916,27,65.0,2005,5,Female,Address_74,38.92632573851824,-95.54746567578464,$79042,$81380,$52212,799,1
2990,26,65.0,1985,10,Female,Address_75,27.23266348507717,-77.60554475743291,$80550,$124906,$36723,838,5
38,23,65.0,1981,2,Female,Address_76,36.724689536606775,-83.35933989063824,$88304,$89187,$14963,848,2
2967,63,65.0,1965,3,Female,Address_77,44.6539403880861,-81.9098954105151,$61770,$146955,$63225,638,5
2209,65,65.0,1955,12,Male,Address_78,28.607989246581266,-76.33675981675471,$52358,$86506,$60656,776,4
2166,54,65.0,1971,1,Male,Address_79,25.12182892144523,-104.98836936021766,$71572,$149129,$32308,541,2
